Item,Calories (kcal),Protein (g),Carbohydrates (g),Fiber (g),Sugar (g)
apple,52,0.3,14,2.4,10
banana,89,1.1,23,2.6,12
beetroot,43,1.6,10,2.8,7
bell pepper,31,1,6,2.1,4
cabbage,25,1.3,6,2.5,3
capsicum,40,1.9,9,1.5,5
carrot,41,0.9,10,2.8,5
cauliflower,25,1.9,5,2,2
chilli pepper,40,2,9,1.5,5
corn,96,3.4,21,2.4,5
cucumber,16,0.8,4,0.5,2
eggplant,25,1,6,3,3
garlic,149,6.4,33,2.1,1
ginger,80,1.8,18,2,2
grapes,69,0.7,18,0.9,15
jalepeno,29,0.9,6,2.8,4
kiwi,61,1.1,15,3,9
lemon,29,1.1,9,2.8,2
lettuce,15,1.4,3,1.3,2
mango,60,0.8,15,1.6,14
onion,40,1.1,9,1.7,4
orange,47,0.9,12,2.4,9
paprika,282,14.1,54,34.9,10
pear,57,0.4,15,3.1,10
peas,81,5.4,14,5.1,6
pineapple,50,0.5,13,1.4,10
pomegranate,83,1.7,19,4,14
potato,77,2,17,2.2,1
raddish,16,0.7,3.4,1.6,2
soy beans,446,36.5,30,9.3,7
spinach,23,2.9,4,2.2,0.4
sweetcorn,86,3.3,19,2.7,6
sweetpotato,86,1.6,20,3,4
tomato,18,0.9,3.9,1.2,2.6
turnip,28,0.9,6,1.8,3
watermelon,30,0.6,8,0.4,6
